                ,pos_z
         0.82814,     -8.28106e-5
         0.82914,     -8.29783e-5
         0.83014,     -8.31476e-5
         0.83114,     -8.33185e-5
         0.83214,     -8.34911e-5
         0.83314,     -8.36652e-5
         0.83414,     -8.38507e-5
         0.83514,     -8.40378e-5
         0.83614,     -8.42265e-5
         0.83714,     -8.44168e-5
         0.83814,     -8.46087e-5
         0.83914,     -8.48022e-5
         0.84014,     -8.49972e-5
         0.84114,     -8.51939e-5
         0.84214,     -8.53922e-5
         0.84314,      -8.5592e-5
         0.84414,     -8.57935e-5
         0.84514,     -8.59965e-5
         0.84614,     -8.62011e-5
         0.84714,     -8.64073e-5
         0.84814,     -8.66151e-5
         0.84914,     -8.68245e-5
         0.85014,     -8.70257e-5
         0.85114,     -8.72284e-5
         0.85214,     -8.74426e-5
         0.85314,     -8.76584e-5
         0.85414,     -8.78757e-5
         0.85514,     -8.80947e-5
         0.85614,     -8.83152e-5
         0.85714,     -8.85373e-5
         0.85814,     -8.87512e-5
         0.85914,     -8.89667e-5
         0.86014,     -8.91936e-5
         0.86114,     -8.94221e-5
         0.86214,     -8.96522e-5
         0.86314,     -8.98839e-5
         0.86414,      -9.0127e-5
         0.86514,     -9.03716e-5
         0.86614,     -9.06179e-5
         0.86714,     -9.08658e-5
         0.86814,     -9.11054e-5
         0.86914,     -9.13467e-5
         0.87014,     -9.15895e-5
         0.87114,     -9.18241e-5
         0.87214,     -9.20504e-5
